id;grossiste_rais_soc;grossiste_adresse;grossiste_telephone;grossis_ville_id
1;mobile Fish;Home Loan Account Table Computer;5808;5
2;seamless Metal depos;Producer;83244;10
3;Electronics;Soap methodology Albania;43194;1
4;Namibia;Steel zero administration;36636;3
5;Licensed Savings Acc;Cambridgeshire Mississippi;4645;9
6;Yuan Renminbi Center;Factors;96563;6
7;envisioneer Music Pu;infomediaries;12203;7
8;backing up Salad;Digitized invoice;31171;5
9;sky blue Georgia;Facilitator;77513;5
10;e-enable Communicati;Awesome;19598;6
