id;laboratoire_rais_soc;laboratoire_adresse;laboratoire_telephone
1;mobile Fish;Home Loan Account Table Computer;10
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;10
3;Officer;methodology Albania;10
4;intangible;enable Gorgeous Frozen Pants;10
5;Licensed Savings Account;Cambridgeshire Mississippi;10
6;Credit Card Account Table Smal;South Dakota envisioneer Music;10
7;Monitored Bahamian Dollar Inve;Games Regional Digitized;10
8;hardware Costa Rica Mayotte;Industrial;10
9;Views e-enable Communications;National Awesome sky blue;10
10;software scale interactive;Louisiana Specialist Home Loan Account;10
